Wall time,Step,Value
1626517041.4656544,1,0.1979125440120697
1626517453.590364,2,0.16096556186676025
1626517865.668549,3,0.15594619512557983
1626518274.4282136,4,0.15312924981117249
1626518685.8414907,5,0.1516273319721222
1626519096.6951373,6,0.15034128725528717
1626519506.335958,7,0.14935775101184845
1626519916.6619108,8,0.1488242745399475
1626520326.2441988,9,0.14793148636817932
1626520735.6273394,10,0.14762011170387268
1626521149.064341,11,0.1470930129289627
1626521559.346804,12,0.14688825607299805
1626521969.8107035,13,0.14628809690475464
1626522380.1967723,14,0.1461482048034668
1626522789.5359678,15,0.1437791883945465
1626523198.1351714,16,0.1433357447385788
1626523611.1315284,17,0.14306220412254333
1626524023.2220254,18,0.1432410180568695
1626524431.4221284,19,0.14301854372024536
1626524840.8953793,20,0.1411173939704895
1626525255.131298,21,0.14092104136943817
1626525665.2094285,22,0.14094851911067963
1626526075.221504,23,0.14090123772621155
1626526485.252481,24,0.1395202875137329
1626526897.3540483,25,0.13938415050506592
1626527308.466343,26,0.13921824097633362
1626527718.8125567,27,0.13917392492294312
1626528129.7192717,28,0.1385996788740158
1626528539.584675,29,0.13869766891002655
1626528949.60748,30,0.13836640119552612
1626529363.9311912,31,0.1382022202014923
1626529774.8444514,32,0.13802111148834229
1626530183.7094758,33,0.13767950236797333
1626530594.3297434,34,0.13779614865779877
1626531004.5788054,35,0.13780798017978668
1626531415.1651287,36,0.1374974399805069
1626531824.2840757,37,0.13762839138507843
1626532232.975405,38,0.1375734508037567
1626532642.3948438,39,0.1374720185995102
1626533051.3383555,40,0.1373308002948761
1626533466.1989484,41,0.13744136691093445
1626533874.837094,42,0.13726675510406494
1626534285.5331647,43,0.13738754391670227
1626534698.9794705,44,0.13735491037368774
1626535108.0806208,45,0.13735276460647583
1626535516.0126445,46,0.1373572051525116
1626535924.165719,47,0.13724510371685028
1626536332.828929,48,0.13726897537708282
1626536741.9613209,49,0.13733144104480743
1626537149.5750685,50,0.13721229135990143
1626537565.3181264,51,0.13724343478679657
1626537974.7559714,52,0.13740301132202148
1626538385.2056,53,0.1372847557067871
1626538794.7903006,54,0.13732513785362244
1626539205.6082282,55,0.13733452558517456
1626539615.0562007,56,0.13726457953453064
1626540023.4420872,57,0.13722825050354004
1626540432.4229076,58,0.13734260201454163
1626540841.5512164,59,0.13736958801746368
1626541250.4786606,60,0.13726329803466797
1626541663.3840322,61,0.13718724250793457
1626542071.6247976,62,0.13715919852256775
1626542480.7575474,63,0.13711601495742798
1626542891.5350456,64,0.13739962875843048
1626543300.0232654,65,0.1372224986553192
1626543709.3594546,66,0.137416273355484
1626544117.4898453,67,0.1375546157360077
1626544525.893175,68,0.1372336447238922
1626544935.7745826,69,0.13714474439620972
1626545347.7411032,70,0.1373523473739624
1626545760.551054,71,0.1372113674879074
1626546386.3267121,72,0.13728514313697815
1626546926.7626255,73,0.1372675895690918
1626547335.337554,74,0.13759596645832062
1626547743.7287188,75,0.13718345761299133
1626548153.1898088,76,0.13734354078769684
1626548562.5693963,77,0.13712839782238007
1626548970.9685102,78,0.13736002147197723
1626549379.3524032,79,0.13726139068603516
1626549788.3578854,80,0.13730211555957794
1626550202.8996747,81,0.1371789127588272
1626550613.8879824,82,0.13738857209682465
1626551023.2960343,83,0.13722728192806244
1626551432.8880987,84,0.13741452991962433
1626551843.332347,85,0.13728979229927063
1626552252.859637,86,0.13723613321781158
1626552661.9819725,87,0.13728882372379303
1626553072.3242943,88,0.1371982842683792
1626553480.7050157,89,0.13732218742370605
1626553889.4849625,90,0.13725416362285614
1626554302.2474804,91,0.1372462660074234
1626554712.4127202,92,0.13726237416267395
1626555121.7615194,93,0.1372666209936142
1626555531.3107846,94,0.13727930188179016
1626556145.298576,95,0.13722839951515198
1626556692.0179646,96,0.13717305660247803
1626557101.4965591,97,0.1371922492980957
1626557510.753851,98,0.13735346496105194
1626557920.604912,99,0.1372183859348297
1626558330.0656435,100,0.13729070127010345
