Wall time,Step,Value
1626428855.9623415,1,0.0955619141459465
1626429115.7852278,2,0.07013481110334396
1626429374.3184967,3,0.06659284234046936
1626429629.347393,4,0.064372718334198
1626429879.4788885,5,0.06213446334004402
1626430135.1367035,6,0.06065240502357483
1626430391.3735962,7,0.05950479581952095
1626430651.4079764,8,0.05836259946227074
1626430912.152787,9,0.05740661174058914
1626431166.597412,10,0.05640764161944389
1626431417.336628,11,0.055576641112565994
1626431669.829734,12,0.05485890433192253
1626431928.916545,13,0.05430071800947189
1626432187.897826,14,0.053604915738105774
1626432444.1384246,15,0.05289163440465927
1626432693.2350736,16,0.05244911462068558
1626432944.081193,17,0.0519012026488781
1626433200.773796,18,0.05135300010442734
1626433456.4900155,19,0.050817690789699554
1626433713.6359785,20,0.05039382725954056
1626433972.3657136,21,0.04982483759522438
1626434220.64647,22,0.04940083622932434
1626434472.9674187,23,0.049100492149591446
1626434729.2678328,24,0.048587869852781296
1626434986.697637,25,0.04815584793686867
1626435244.4847062,26,0.04779742285609245
1626435498.8320746,27,0.047169532626867294
1626435748.1923397,28,0.046747952699661255
1626436002.769062,29,0.046351734548807144
1626436260.7680235,30,0.04594388231635094
1626436527.2293053,31,0.04576726257801056
1626436785.7476938,32,0.04507903754711151
1626437038.812899,33,0.04483235999941826
1626437293.757791,34,0.0442504845559597
1626437551.0565262,35,0.04401933774352074
1626437811.2661343,36,0.04371572285890579
1626438069.5922575,37,0.043316878378391266
1626438325.5519466,38,0.04314549267292023
1626438575.6369662,39,0.04292777180671692
1626438829.7991254,40,0.042658478021621704
1626439092.2551022,41,0.04246298968791962
1626439351.390166,42,0.04229016974568367
1626439608.3349447,43,0.04204826429486275
1626439864.8354952,44,0.04187117889523506
1626440113.6365101,45,0.04168561473488808
1626440367.6811335,46,0.04147367924451828
1626440624.4823797,47,0.04140489920973778
1626440886.2754216,48,0.04124142974615097
1626441145.2898252,49,0.041111476719379425
1626441398.8997967,50,0.040963221341371536
1626441651.7969792,51,0.040884967893362045
1626441906.6480064,52,0.04079483821988106
1626442165.4324813,53,0.04061254486441612
1626442424.0528908,54,0.040509384125471115
1626442682.3825934,55,0.04035163298249245
1626442932.4926982,56,0.04026487097144127
1626443191.6543179,57,0.040099676698446274
1626443447.734308,58,0.03997179493308067
1626443706.5338142,59,0.03986937180161476
1626443965.8298628,60,0.03981078043580055
1626444220.594129,61,0.039785806089639664
1626444471.8735507,62,0.03964904695749283
