Wall time,Step,Value
1626516350.488947,425,1.5222949981689453
1626516509.3531427,514,1.1105835437774658
1626516625.2930954,579,1.0882352590560913
1626516753.5160441,651,1.2019823789596558
1626516780.4559088,666,1.0220746994018555
1626517035.8359764,809,1.0401945114135742
1626517062.562599,822,1.0684874057769775
1626517084.0295424,844,1.0380680561065674
1626517112.330156,872,1.0531115531921387
1626517156.9873555,917,0.9872487187385559
1626517179.3408453,940,1.0538123846054077
1626517184.1294641,945,1.0200611352920532
1626517201.6278489,963,1.1118402481079102
1626517240.7638683,1003,1.0182585716247559
1626517286.861187,1050,1.051592230796814
1626517301.5293465,1065,0.9780838489532471
1626517405.6853807,1171,1.005922794342041
1626517445.3077488,1211,0.9639657139778137
1626517517.533705,1273,0.8751096129417419
1626517537.4021454,1293,0.9315967559814453
1626517663.928216,1422,0.9866353869438171
1626517674.8707383,1433,0.9105865955352783
1626517685.4888165,1444,0.9827739000320435
1626517772.4113073,1532,0.925987958908081
1626517779.3115203,1539,0.9927794933319092
1626517798.6654532,1559,0.9185235500335693
1626517810.3425808,1571,1.025580644607544
1626517822.1658995,1583,1.0400029420852661
1626517830.1823657,1591,1.0162487030029297
1626517907.1679804,1659,0.9233498573303223
1626517909.100309,1661,0.9308813810348511
1626517921.8883626,1674,0.9521570205688477
1626517925.8221838,1678,0.9804611206054688
1626518028.3628945,1783,0.9317294359207153
1626518068.7804425,1824,0.9205665588378906
1626518109.271557,1865,0.9612312912940979
1626518144.7533958,1901,0.9534006714820862
1626518160.393963,1917,0.8792151808738708
1626518163.3322778,1920,0.987571656703949
1626518197.668784,1955,1.056559443473816
1626518214.0747292,1972,1.0051172971725464
1626518292.5710533,2042,0.9381389021873474
1626518327.1974292,2077,1.02120041847229
1626518502.0504692,2254,1.0180175304412842
1626518562.9489546,2316,0.91414475440979
1626518593.6378593,2347,0.9719969034194946
1626518613.276903,2367,0.8793898224830627
1626518614.2738657,2368,0.9320868253707886
1626518740.5888314,2486,0.931305468082428
1626519016.635358,2766,0.9156683087348938
1626519092.4790232,2843,0.9502794742584229
1626519096.694908,2848,0.9405412673950195
1626519127.3021762,2869,1.0054285526275635
1626519130.3064218,2872,0.9052579402923584
1626519167.602703,2910,0.8417176008224487
1626519240.051316,2984,0.9373500347137451
1626519261.7183325,3006,1.002020239830017
1626519297.3019884,3042,0.9709991812705994
1626519305.1542964,3050,0.9258812665939331
1626519345.4371393,3091,0.9517463445663452
1626519354.357088,3100,0.9636715650558472
1626519369.1575153,3115,0.8995181918144226
1626519378.096045,3124,1.0178247690200806
1626519415.0965936,3161,0.9762811660766602
1626519428.7616825,3175,1.0143558979034424
1626519445.4479969,3192,1.0325088500976562
1626519471.7455819,3219,0.9907186031341553
1626519503.0648522,3251,0.900216281414032
1626519529.4132838,3268,0.8673478364944458
1626519639.99463,3380,0.8638663291931152
1626519748.058672,3490,0.8628674745559692
1626519748.999642,3491,0.9710499048233032
1626519768.7816846,3511,0.9224989414215088
1626519769.779106,3512,0.9891870617866516
1626519809.094749,3552,0.9040563702583313
1626519862.050196,3606,0.9258296489715576
1626519879.8032289,3624,0.914731502532959
1626519903.5706754,3648,0.9848836660385132
1626519936.4272943,3672,0.8889594078063965
1626519939.2589095,3675,0.882319450378418
1626520025.2981234,3763,0.9441307187080383
1626520073.0016603,3811,0.8545628786087036
1626520150.3981616,3890,0.9013687372207642
1626520167.342249,3907,0.8920382261276245
1626520192.9412262,3933,0.913338303565979
1626520232.2552686,3973,0.912834644317627
1626520265.4133384,4007,0.9336082935333252
1626520281.376408,4023,0.89490807056427
1626520318.9209251,4061,0.9464176297187805
1626520325.9135993,4068,0.9537831544876099
1626520342.2408824,4075,0.8525577783584595
1626520345.2489085,4078,0.9126175045967102
1626520363.886456,4097,0.8801069855690002
1626520385.1878996,4119,0.8530190587043762
1626520453.7721503,4189,0.9331898093223572
1626520518.0637968,4255,0.8912482857704163
1626520584.7138948,4322,0.9812154769897461
1626520602.662648,4340,0.9469484686851501
1626520644.1071603,4382,0.9588369131088257
1626520680.3626835,4419,0.8646897077560425
1626520690.9206984,4430,0.9593900442123413
1626520763.830893,4491,0.9024915099143982
1626520788.5670424,4516,0.9388828873634338
1626520800.2428956,4528,0.9651991724967957
1626520803.2067866,4531,0.9047943353652954
1626520824.826321,4553,0.8582171201705933
1626520858.9526062,4588,0.9136600494384766
1626520869.9154906,4599,0.9904743432998657
1626520904.2194889,4634,0.7952861189842224
1626520994.0987394,4725,0.920539915561676
1626521004.165658,4735,0.963374137878418
1626521128.3519063,4861,0.9950487613677979
1626521217.0710464,4942,0.9316588640213013
1626521221.0931642,4946,0.860949695110321
1626521245.3250813,4971,0.8551438450813293
1626521329.0654614,5056,0.8973287343978882
1626521369.3131042,5097,0.8325831890106201
1626521386.2850363,5114,0.8794477581977844
1626521455.2047687,5184,0.8942385911941528
1626521509.9476008,5239,0.9239768981933594
1626521513.9160032,5243,0.9170912504196167
1626521521.783045,5251,0.9751898646354675
1626521559.021315,5289,1.0053569078445435
1626521596.4358556,5317,0.8504841327667236
1626521763.092075,5486,0.8713291883468628
1626521771.881612,5495,0.8479033708572388
1626521773.8620365,5497,0.84771728515625
1626521815.3454351,5539,0.8828791975975037
1626521819.2653265,5543,0.9586278796195984
1626521837.946542,5562,0.909934401512146
